"日付","摘要","摘要内容","支払い金額","預かり金額","差引残高","メモ","未資金化区分","入払区分"
"2025/1/20","振込入金","ｱｵﾊﾞｺｳﾑﾃﾝ","","220,000","820,000","","","振替入金"
"2025/1/25","振込入金","LPﾃﾝﾌﾟﾚｰﾄﾊﾝﾊﾞｲ","","66,000","886,000","","","振替入金"
"2025/1/28","振込入金","NOTIONﾃﾝﾌﾟﾚｰﾄﾊﾝﾊﾞｲ","","44,000","930,000","","","振替入金"
"2025/2/3","口座振替３","イオンフイナンシヤル","13,530","","632,670","","","振替支払い"
"2025/2/4","口座振替３","ビユ－カ－ド","10,000","","622,670","","","振替支払い"
"2025/2/14","振込入金","ﾅﾝｾｲｼｮｸﾋﾝ","","330,000","1,236,470","","","振替入金"
"2025/2/18","電気","トウキヨウデンリヨク","8,420","","746,250","","","振替支払い"
"2025/2/21","ガス","トウキヨウガス","2,980","","743,270","","","振替支払い"
"2025/2/27","口座振替３","ラクテンカ－ドサ－ビ","2,780","","740,490","","","振替支払い"
"2025/2/28","振込入金","ｼﾗｶﾊﾞﾌﾄﾞｳｻﾝ","","88,000","1,313,290","","","振替入金"
"2025/2/28","振込入金","UIｱｲｺﾝｿｻﾞｲﾊﾝﾊﾞｲ","","33,000","1,346,290","","","振替入金"
"2025/3/10","振込入金","ﾎｸﾄﾃﾞﾝﾀﾙｸﾘﾆｯｸ","","440,000","1,786,290","","","振替入金"
"2025/3/19","振込入金","ﾐﾅﾄｼｬﾛｳｼｼﾞﾑｼｮ","","165,000","1,951,290","","","振替入金"
"2025/3/21","振込入金","LPﾃﾝﾌﾟﾚｰﾄﾊﾝﾊﾞｲ","","77,000","2,028,290","","","振替入金"
"2025/3/25","水道","ヨコハマスイドウ","3,410","","1,029,080","","","振替支払い"
"2025/3/27","振込","SMBCコウザイドウ","50,000","","979,080","","","支払い"
"2025/3/29","振込入金","NOTIONﾃﾝﾌﾟﾚｰﾄﾊﾝﾊﾞｲ","","55,000","2,029,880","","","振替入金"
