invoice_no,posting_date,customer_name,customer_registration_no,currency,net_amount,tax_amount,grand_total,tax_rate,tax_category,is_return
ACC-SINV-2025-00001,2025-01-10,青葉工務店株式会社,T1010101010101,JPY,200000,20000,220000,10.0,standard,0
ACC-SINV-2025-00002,2025-01-15,LPテンプレート販売,,JPY,60000,6000,66000,10.0,standard,0
ACC-SINV-2025-00003,2025-01-28,Notion案件管理テンプレート販売,,JPY,40000,4000,44000,10.0,standard,0
ACC-SINV-2025-00004,2025-02-07,南星食品株式会社,T2020202020202,JPY,300000,30000,330000,10.0,standard,0
ACC-SINV-2025-00005,2025-02-18,白樺不動産合同会社,T3030303030303,JPY,80000,8000,88000,10.0,standard,0
ACC-SINV-2025-00006,2025-02-26,UIアイコン素材販売,,JPY,30000,3000,33000,10.0,standard,0
ACC-SINV-2025-00007,2025-03-05,北斗デンタルクリニック,T4040404040404,JPY,400000,40000,440000,10.0,standard,0
ACC-SINV-2025-00008,2025-03-12,みなと社会保険労務士事務所,T5050505050505,JPY,150000,15000,165000,10.0,standard,0
ACC-SINV-2025-00009,2025-03-21,LPテンプレート販売,,JPY,70000,7000,77000,10.0,standard,0
ACC-SINV-2025-00010,2025-03-29,Notion案件管理テンプレート販売,,JPY,50000,5000,55000,10.0,standard,0
